name,address,lat,lng,phone,contact_person
Pharmacy One,Nasr City Cairo,30.06111,31.32611,0111111111,Ahmed
HealthPlus,Maadi Cairo,29.96111,31.26511,0122222222,Mona
CityCare,Heliopolis,30.07611,31.31511,0103333333,Khaled
El Ezaby, Nasr City,30.0615,31.3268,0104444444,Sara
Roshdy,Smouha Alexandria,31.2001,29.9187,0105555555,Omar
FamilyCare,Zagazig,30.5833,31.5000,0116666666,Heba
El Dawaa,Heliopolis,30.0674,31.3103,0107777777,Magdi
CityPharm,Giza,30.0100,31.2100,0118888888,Nada
PortPharm,Port Said,31.2653,32.3019,0109999999,Yasser
DeltaPharm,Mansoura,31.0400,31.3800,0121010101,Salma
