trade_name,active_ingredient,strength,form,manufacturer,typical_pack_size,avg_price_egp,therapeutic_group,legal_notes,categories_ar,aliases,is_brand,country,currency,source
contraceptive agents,,,,,,,,,,contraceptive agents|G03A,false,,EGP,wikidata
postcoital contraceptives,,,,,,,,,,postcoital contraceptives|G03AD,false,,EGP,wikidata
hormonal contraceptive agents,,,,,,,,,,hormonal contraceptive agents|G03A,false,,EGP,wikidata
Gardasil 9,,,,,,,,,,Gardasil 9|gardasil 9|J07BM03,false,,EGP,wikidata
Angelica dahurica,,,,,,,,,,Angelica dahurica|angelica dahurica,false,,EGP,wikidata
four thieves vinegar,,,,,,,,,,four thieves vinegar,false,,EGP,wikidata
Dental dam (oral sex),,,,,,,,,,Dental dam (oral sex)|dental dam (oral sex),false,,EGP,wikidata
tunicamycin,,,,,,,,,,tunicamycin,false,,EGP,wikidata
Mercromina,,,,,,,,,,Mercromina|mercromina,false,,EGP,wikidata
Kagocel,,,,,,,,,,Kagocel|kagocel,false,,EGP,wikidata
Boroline,,,,,,,,,,Boroline|boroline,false,,EGP,wikidata
Kolokol-1,,,,,,,,,,Kolokol-1|kolokol-1,false,,EGP,wikidata
Savlon,,,,,,,,,,Savlon|savlon,false,,EGP,wikidata
sergliflozin etabonate,,,,,,,,,,sergliflozin etabonate,false,,EGP,wikidata
Silver proteinate,,,,,,,,,,Silver proteinate|silver proteinate,false,,EGP,wikidata
TrimSpa,,,,,,,,,,TrimSpa|trimspa,false,,EGP,wikidata
Dolphin,,,,,,,,,,Dolphin|dolphin,false,,EGP,wikidata
mizagliflozin,,,,,,,,,,mizagliflozin,false,,EGP,wikidata
tofogliflozin,,,,,,,,,,tofogliflozin,false,,EGP,wikidata
bexagliflozin diproline,,,,,,,,,,bexagliflozin diproline,false,,EGP,wikidata
luseogliflozin,,,,,,,,,,luseogliflozin,false,,EGP,wikidata
velagliflozin,,,,,,,,,,velagliflozin,false,,EGP,wikidata
ipragliflozin L-proline,,,,,,,,,,ipragliflozin L-proline|ipragliflozin l-proline,false,,EGP,wikidata
atigliflozin,,,,,,,,,,atigliflozin,false,,EGP,wikidata
Mori Cortex,,,,,,,,,,Mori Cortex|mori cortex,false,,EGP,wikidata
sergliflozin,,,,,,,,,,sergliflozin,false,,EGP,wikidata
velagliflozin proline,,,,,,,,,,velagliflozin proline,false,,EGP,wikidata
Cacao Amazonas Perú,,,,,,,,,,Cacao Amazonas Perú|cacao amazonas perú,false,,EGP,wikidata
canagliflozin hemihydrate,,,,,,,,,,canagliflozin hemihydrate,false,,EGP,wikidata
Voltaren,,,,,,,,,,Voltaren|voltaren,false,,EGP,wikidata
female contraceptive agent,,,,,,,,,,female contraceptive agent,false,,EGP,wikidata
combined oral contraceptives,,,,,,,,,,combined oral contraceptives,false,,EGP,wikidata
mulberry leaf,,,,,,,,,,mulberry leaf,false,,EGP,wikidata
Coronavir,,,,,,,,,,Coronavir|coronavir,false,,EGP,wikidata
Indigenous Chocolate,,,,,,,,,,Indigenous Chocolate|indigenous chocolate,false,,EGP,wikidata
Crohns MAP Vaccine,,,,,,,,,,Crohns MAP Vaccine|crohns map vaccine,false,,EGP,wikidata
mRNA-1283,,,,,,,,,,mRNA-1283|mrna-1283,false,,EGP,wikidata
sarcocolla,,,,,,,,,,sarcocolla,false,,EGP,wikidata
Packet of 'Anti-Baby' condoms,,,,,,,,,,Packet of 'Anti-Baby' condoms|packet of 'anti-baby' condoms,false,,EGP,wikidata
"""Rubber cervical cap","called """"Prorace""""""",,,,,,,,,"""Rubber cervical cap|""rubber cervical cap|called """"Prorace""""""|called """"prorace""""""",false,,EGP,wikidata
"""Rubber cervical cap","""""Racial"""" brand",,,,,,,,,"""Rubber cervical cap|""rubber cervical cap|""""Racial"""" brand|""""racial"""" brand|size 2""",false,,EGP,wikidata
Cacao-Chocolate,,,,,,,,,,Cacao-Chocolate|cacao-chocolate,false,,EGP,wikidata
Ceremonial Cacao,,,,,,,,,,Ceremonial Cacao|ceremonial cacao,false,,EGP,wikidata
CVL-354,,,,,,,,,,CVL-354|cvl-354,false,,EGP,wikidata
Indigenous Cacao,,,,,,,,,,Indigenous Cacao|indigenous cacao,false,,EGP,wikidata
retatrutide,,,,,,,,,,retatrutide,false,,EGP,wikidata
falimarev,,,,,,,,,,falimarev,false,,EGP,wikidata
simnotrelvir/ritonavir,,,,,,,,,,simnotrelvir/ritonavir,false,,EGP,wikidata
enavogliflozin,,,,,,,,,,enavogliflozin,false,,EGP,wikidata
BNT162b5,,,,,,,,,,BNT162b5|bnt162b5,false,,EGP,wikidata
amycretin,,,,,,,,,,amycretin,false,,EGP,wikidata
mRNA-1083,,,,,,,,,,mRNA-1083|mrna-1083,false,,EGP,wikidata
direclidine,,,,,,,,,,direclidine,false,,EGP,wikidata
CT-388,,,,,,,,,,CT-388|ct-388,false,,EGP,wikidata
Amarasate,,,,,,,,,,Amarasate|amarasate,false,,EGP,wikidata
conker,,,,,,,,,,conker|C05CX03,false,,EGP,wikidata
motherwort herb,,,,,,,,,,motherwort herb,false,,EGP,wikidata
cinnamon bark extract,,,,,,,,,,cinnamon bark extract,false,,EGP,wikidata
Yu Yee oil,,,,,,,,,,Yu Yee oil|yu yee oil,false,,EGP,wikidata
Bergamot essential oil,,,,,,,,,,Bergamot essential oil|bergamot essential oil,false,,EGP,wikidata
eucalyptus oil,,,,,,,,,,eucalyptus oil,false,,EGP,wikidata
genmaicha,,,,,,,,,,genmaicha,false,,EGP,wikidata
anise oil,,,,,,,,,,anise oil,false,,EGP,wikidata
bancha,,,,,,,,,,bancha,false,,EGP,wikidata
juniper oil,,,,,,,,,,juniper oil,false,,EGP,wikidata
oxyntomodulin,,,,,,,,,,oxyntomodulin,false,,EGP,wikidata
thyme oil,,,,,,,,,,thyme oil,false,,EGP,wikidata
camomile oil,,,,,,,,,,camomile oil,false,,EGP,wikidata
copeptin,,,,,,,,,,copeptin,false,,EGP,wikidata
Sage oil,,,,,,,,,,Sage oil|sage oil,false,,EGP,wikidata
Sage oil,,,,,,,,,,Sage oil|sage oil,false,,EGP,wikidata
rosemary oil,,,,,,,,,,rosemary oil,false,,EGP,wikidata
rosemary oil,,,,,,,,,,rosemary oil,false,,EGP,wikidata
fennel oil,,,,,,,,,,fennel oil,false,,EGP,wikidata
Tiliae flos,,,,,,,,,,Tiliae flos|tiliae flos,false,,EGP,wikidata
veratrine,,,,,,,,,,veratrine,false,,EGP,wikidata
Althaea officinalis extract,,,,,,,,,,Althaea officinalis extract|althaea officinalis extract,false,,EGP,wikidata
red raspberry leaf,,,,,,,,,,red raspberry leaf,false,,EGP,wikidata
Hamamelidis cortex,,,,,,,,,,Hamamelidis cortex|hamamelidis cortex,false,,EGP,wikidata
Gentianae radix,,,,,,,,,,Gentianae radix|gentianae radix,false,,EGP,wikidata
willow bark,,,,,,,,,,willow bark,false,,EGP,wikidata
Kamishoyosan,,,,,,,,,,Kamishoyosan|kamishoyosan,false,,EGP,wikidata
Ilaner kuzhampu,,,,,,,,,,Ilaner kuzhampu|ilaner kuzhampu,false,,EGP,wikidata
Java tea,,,,,,,,,,Java tea|java tea,false,,EGP,wikidata
Sideritis herba,,,,,,,,,,Sideritis herba|sideritis herba,false,,EGP,wikidata
caraway seeds,,,,,,,,,,caraway seeds,false,,EGP,wikidata
conker,,,,,,,,,,conker|C05CX03,false,,EGP,wikidata
cinnamon bark extract,,,,,,,,,,cinnamon bark extract,false,,EGP,wikidata
thyme oil,,,,,,,,,,thyme oil,false,,EGP,wikidata
camomile oil,,,,,,,,,,camomile oil,false,,EGP,wikidata
red raspberry leaf,,,,,,,,,,red raspberry leaf,false,,EGP,wikidata
Hamamelidis cortex,,,,,,,,,,Hamamelidis cortex|hamamelidis cortex,false,,EGP,wikidata
Gentianae radix,,,,,,,,,,Gentianae radix|gentianae radix,false,,EGP,wikidata
willow bark,,,,,,,,,,willow bark,false,,EGP,wikidata
Java tea,,,,,,,,,,Java tea|java tea,false,,EGP,wikidata
Sideritis herba,,,,,,,,,,Sideritis herba|sideritis herba,false,,EGP,wikidata
caraway seeds,,,,,,,,,,caraway seeds,false,,EGP,wikidata
theralizumab,,,,,,,,,,theralizumab,false,,EGP,wikidata
Bergamot essential oil,,,,,,,,,,Bergamot essential oil|bergamot essential oil,false,,EGP,wikidata
eucalyptus oil,,,,,,,,,,eucalyptus oil,false,,EGP,wikidata
anise oil,,,,,,,,,,anise oil,false,,EGP,wikidata
baekseju,,,,,,,,,,baekseju,false,,EGP,wikidata
Huangshan Maofeng,,,,,,,,,,Huangshan Maofeng|huangshan maofeng,false,,EGP,wikidata
gyokuro,,,,,,,,,,gyokuro,false,,EGP,wikidata
fennel oil,,,,,,,,,,fennel oil,false,,EGP,wikidata
